Date,Close
2017-08-17,4105.3701
2017-08-18,4150.4502
2017-08-19,4066.6001
2017-08-20,4005.1001
2017-08-21,4089.7
2017-08-22,4141.0898
2017-08-23,4318.3501
2017-08-24,4364.4102
2017-08-25,4352.2998
2017-08-26,4345.75
2017-08-27,4390.3101
2017-08-28,4597.3101
2017-08-29,4583.02
2017-08-30,4735.1099
2017-08-31,4921.8501
2017-09-01,4573.7998
2017-09-02,4612.9199
2017-09-03,4267.4502
2017-09-04,4409.0801
2017-09-05,4618.71
2017-09-06,4635.6001
2017-09-07,4326.4502
2017-09-08,4335.1299
2017-09-09,4245.8901
2017-09-10,4217.8999
2017-09-11,4158.9199
2017-09-12,3870.29
2017-09-13,3243.0801
2017-09-14,3713.76
2017-09-15,3698.9199
2017-09-16,3689.6101
2017-09-17,4100.2798
2017-09-18,3907.96
2017-09-19,3882.1599
2017-09-20,3617.27
2017-09-21,3600.8301
2017-09-22,3788.02
2017-09-23,3667.52
2017-09-24,3932.8301
2017-09-25,3892.7
2017-09-26,4212.2002
2017-09-27,4195.6499
2017-09-28,4172.79
2017-09-29,4360.6201
2017-09-30,4403.0898
2017-10-01,4401.3198
2017-10-02,4314.1802
2017-10-03,4218.6602
2017-10-04,4321.4399
2017-10-05,4371.9399
2017-10-06,4435.8101
2017-10-07,4611.7002
2017-10-08,4777.4902
2017-10-09,4763.3599
2017-10-10,4824.2002
2017-10-11,5432.6201
2017-10-12,5637.2598
2017-10-13,5824.71
2017-10-14,5688.1401
2017-10-15,5759.3301
2017-10-16,5598.5801
2017-10-17,5575.8301
2017-10-18,5698.6499
2017-10-19,5993.1099
2017-10-20,6006.6499
2017-10-21,5982.8599
2017-10-22,5903.6099
2017-10-23,5513.0801
2017-10-24,5734.0
2017-10-25,5887.6099
2017-10-26,5764.5601
2017-10-27,5726.6099
2017-10-28,6147.52
2017-10-30,6124.2798
2017-10-31,6451.2402
2017-11-01,6737.7798
2017-11-02,7024.8101
2017-11-03,7152.1201
2017-11-04,7363.7998
2017-11-05,7389.5498
2017-11-06,6959.23
2017-11-07,7102.75
2017-11-08,7444.3599
2017-11-09,7129.5898
2017-11-10,6565.7998
2017-11-11,6339.8599
2017-11-12,5878.1299
2017-11-13,6522.4502
2017-11-14,6597.0601
2017-11-15,7283.2202
2017-11-16,7853.6802
2017-11-17,7699.9502
2017-11-18,7780.9102
2017-11-19,8042.6401
2017-11-20,8244.6904
2017-11-21,8099.9702
2017-11-22,8234.5498
2017-11-23,8013.4102
2017-11-24,8200.7998
2017-11-25,8754.6904
2017-11-26,9318.4199
2017-11-27,9733.2002
2017-11-28,9906.04
2017-11-29,9837.8604
2017-11-30,9946.7598
2017-12-01,10861.4697
2017-12-02,10912.7305
2017-12-03,11246.21
2017-12-04,11623.9102
2017-12-05,11667.1299
2017-12-06,13749.5703
2017-12-07,16850.3105
2017-12-08,16047.6104
2017-12-09,14843.4199
2017-12-10,15059.5996
2017-12-11,16732.4707
2017-12-12,17083.9004
2017-12-13,16286.8203
2017-12-14,16467.9102
2017-12-15,17604.8496
2017-12-16,19345.4902
2017-12-17,19065.7109
2017-12-18,18972.3203
2017-12-19,17523.6992
2017-12-20,16461.9707
2017-12-21,15632.1201
2017-12-22,13664.9697
2017-12-23,14396.46
2017-12-24,13789.9502
2017-12-25,13833.4902
2017-12-26,15756.5596
2017-12-27,15416.6396
2017-12-28,14398.7002
2017-12-29,14392.5703
2017-12-30,12531.5195
2017-12-31,13850.4004
2018-01-01,13444.8799
2018-01-02,14754.1299
2018-01-03,15156.6201
2018-01-04,15180.0801
2018-01-05,16954.7793
2018-01-06,17172.3008
2018-01-07,16228.1602
2018-01-08,14976.1699
2018-01-09,14468.5
2018-01-10,14919.4902
2018-01-11,13308.0596
2018-01-12,13841.1904
2018-01-13,14243.1201
2018-01-14,13638.6299
2018-01-15,13631.9805
2018-01-16,11282.4902
2018-01-17,11162.7002
2018-01-18,11175.5195
2018-01-19,11521.7598
2018-01-20,12783.9404
2018-01-21,11549.9297
2018-01-22,10814.5195
2018-01-23,10858.2305
2018-01-24,11429.0195
2018-01-25,11175.8701
2018-01-26,11104.2002
2018-01-27,11459.71
2018-01-28,11767.7402
2018-01-29,11233.9502
2018-01-30,10107.2598
2018-01-31,10226.8604
2018-02-01,9114.7197
2018-02-02,8870.8203
2018-02-03,9251.2695
2018-02-04,8218.0498
2018-02-05,6937.0801
2018-02-06,7701.25
2018-02-07,7592.7202
2018-02-08,8260.6904
2018-02-09,8696.8301
2018-02-10,8569.29
2018-02-11,8084.6099
2018-02-12,8911.2695
2018-02-13,8544.6904
2018-02-14,9485.6396
2018-02-15,10033.75
2018-02-16,10188.7305
2018-02-17,11097.21
2018-02-18,10417.2305
2018-02-19,11182.2803
2018-02-20,11256.4297
2018-02-21,10481.6602
2018-02-22,9847.96
2018-02-23,10175.5098
2018-02-24,9705.7305
2018-02-25,9610.1104
2018-02-26,10326.5
